filer,filingYear,name,nature,grossIncomeReceived,address,businessFmv,businessOrTrust,realPropertyNameOrAddress,realPropertyFmv,realPropertyInvestmentOrProperty,realPropertyNature,formUrl,legislatorDigitalDemocracyUrl
Roger Niello,2024,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2551 Trade Wind Avenue,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,3222 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,150 Automall Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2535 Arden Way,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,Niello Performance Motors II,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Motor Car Company,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Imports of Rocklin,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,"Niello Imports II, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,,Same,"Over $1,000,000",Business entity,"R.L. Niello Co., Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2024,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Performance Motors,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
